id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,cultural_prediction_csi_match_score,cultural_prediction_csi_match_success
ahl_4096_hat_eng,ki vanyan yo ka di di l se sa sèl moun,how brave they can say to him that he is the only person,The stronger they can say is that he is the only one,what brave people can say is that its the only person,"the brave ones can say, tell him thats the only person",how bold they are to tell him he’s the only one | how dare they say he’s the only person,65.1685393258427,False
ahl_9684_hat_eng,la fè dyskou.,she gave a speech.,The art of discourse.,She is making excuses.,She is making discourses.,gave a speech | delivered a speech,37.5,False
ahl_3691_hat_eng,ou mete bannann,you put bananas,you put a banana,you put bananas,you put bananas,you’re kidding | you’re messing around,36.36363636363637,False
ahl_815_hat_eng,w ap di depi avan yè,you’ve been saying it since the day before yesterday,You've been saying since before yesterday,you have been saying since before yesterday,you have been saying since before yesterday,you’ve been saying that for ages | you’ve been saying that forever,67.56756756756756,False
ahl_10713_hat_eng,men ne kote yo,but here is where they are,But I don't know where they are,but here are the places,but here are the places,here they are | this is where they are,63.1578947368421,False
ahl_16915_hat_eng,iti nou men nan ankkò,here we are again,It's new but it's new again,here we are again,here we are again,here we go again | here we are again,100.0,True
ahl_5427_hat_eng,yo di m pa konnen gen yen rele sa,they told me i don’t know there is something called that,They told me I don't know what to call it,they told me I dont know if there is anyone calling that,they told me I dont know what they call that,I don’t know what that’s called | They told me I don’t know the name for that,74.74747474747474,False
ahl_6448_hat_eng,epi yo mete sou yon tizò ye an pou rendwa chita,and they put it on a little stool to make it sit down,They put on a threshing floor to pay the rent and sit down,and they put it on a thief so he can sit down,and they put it on a cushion so it can sit back,and they set it on a stool to sit it down | they put it on a little stool to make it sit down,72.09302325581395,False
ahl_10834_hat_eng,Gon ti baga tèt li,There’s a little thing on his head,Gon ti Baga itself,He has a little headache.,He has a little thing on his head,He’s a bit off | He’s not quite right,50.0,False
ahl_635_hat_eng,m pa konnen e kichan ou ta rele epòkse la Kisa w tab di,"I don’t know, and how would you call that, what would you say?",I don't know what you would call the era What do you say?,"I dont know, and what would you call that era? What would you say?","I dont know, and what would you call that time? What would you say?","I don’t know, how would you put it? | I’m not sure, what would you call that?",68.18181818181819,False
ahl_13452_hat_eng,bra sa yo m konn yo rele Palmis,I know these arms are called Palmis,These arms are known as the Palm Tree,those arms I know they call Palmis,These arms I know they call Palmis,I know these arms are called Palmis | These arms are called Palmis,74.19354838709677,False
