id	label	cr	en
1	good	Si pa egzanp ou ta rankontre yon moun	If, for example, you were to meet someone
2	good	Moun nan ta mande w	The person would ask you
3	good	la ki kote pa egzanp ou ye	where are you for example
4	medium	li sòt ap di l: Kote mwen ye?	he just said to him: Where am I?
5	bad	ki kote w ye, pou ta vle di se bò isi a, pou ta vle di bò sòj egzang la?	Where are you, that you would say it’s around here, that you would say around the soy sauce side?
6	medium	e wi men, w ap di l konsa bon, li mande w ki kote.	and yes but, you’ll say it like that, okay, he asks you where.
7	good	Pa egzanp la w ap di m tèl bagay, kijanw ta pral di l?	For example, if you were telling me such a thing, how would you say it?
8	bad	se ta di si kòmsim mw travay ou byen sim konn li?	Would it mean that if I work well, I know how to read?
9	medium	e kay kote ou ye a menm w ap di l an kòm si m ak di l m te ok	and the house where you are, you’re even saying it as if I had told him I was okay
10	good	ou mèt kontinye se sa.	you can continue, that's it.
11	good	Zòn mwen ye a	The area where I am
12	good	zòn mw rete a ou byen zòn ou rete a	the area where I live or the area where you live
13	bad	ou konn wè bò lanmè	you know how to see by the sea
14	medium	pou konn wè gwo yon seri de kote yo monte kay bò lanmè a	to see how big a series of places they built houses by the sea
15	good	kijan yo rele sa?	What do they call that?
16	good	Non, nan, tout kote yo monte kay yo, pafwa se jaden ki gen bò la.	No, no, wherever they build their houses, sometimes there are gardens nearby.
17	good	pa egzanp la men dlo a kote pechè yo konn konn peche pwason yo	for example, here is the water where the fishermen usually fish for their fish
18	medium	men sou kote li ou gen dwa jwen n yon pakèt fatra moun gen dwat sekle l	but beside it you can find a lot of trash people have the right to clear it
19	good	yo plante oubyen yo gen dwat bati sou li	they plant or they have the right to build on it
20	good	kijan an yo rele tout zòn sa a ki akote dlo a?	What do they call this whole area next to the water?
21	medium	pa egzanp m fè sa	for example I do that
22	good	lè m fè sa tchap m deplase	when I do that, my cap moves
23	good	m ale m lage pye m nan lanmè	I go and put my feet in the sea
24	good	lè m fè sa m soti nan lanmè m moute	when I do that I come out of the sea I go up
25	good	m ka wè jaden	I can see the garden
26	good	m ka wè kay Man	I can see Man’s house
27	good	yon seride bagay	a series of things
28	bad	Gonjan yo rele e ti zòn sa a ki tout kote lanmè a	There is a place called Gonjan and this little area that is all around the sea
29	good	ou pakonn ki jan yo rele li?	Do you not know what it is called?
