id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,baseline_prediction_csi_match_score,baseline_prediction_csi_match_success
cuisine_48_hat_eng,epina,Spinach,Spinach,Spinach,Spinach,spinach|leafy greens,100.0,True
fanm_313_hat_eng,Epi li renmen Ayiti.,She loves Haiti.,And he loves Haiti.,And she loves Haiti.,And she loves Haiti.,And she loves Haiti | She loves Haiti,94.73684210526316,True
cuisine_6_hat_eng,Sitwonad,lemonade,Sitwonad,Lemonade,Citronade,lemonade | lemon drink,53.333333333333336,False
cuisine_100_hat_eng,"Yon bon kabrit nan sòs, akonpaye pa yon vè ji soursop, toujou lakòz yon sansasyon pandan yon dine ak fanmi oswa zanmi.","A good kid in sauce, accompanied by a glass of soursop juice, always makes a sensation at a dinner with family or friends.","A good goat in sauce, accompanied by a glass of soursop juice, always creates a sensation during a dinner with family or friends.","A good goat in sauce, accompanied by a glass of syrup juice, always creates a sensation during a dinner with family or friends.","A good goat in sauce, accompanied by a glass of syrup juice, always creates a sensation during a dinner with family or friends.",A delicious goat stew with soursop juice is always a hit at family or friends’ dinners | A flavorful goat dish served with soursop juice always impresses at a gathering,57.28155339805825,False
cuisine_100_hat_eng,"Yon bon kabrit nan sòs, akonpaye pa yon vè ji soursop, toujou lakòz yon sansasyon pandan yon dine ak fanmi oswa zanmi.","A good kid in sauce, accompanied by a glass of soursop juice, always makes a sensation at a dinner with family or friends.","A good goat in sauce, accompanied by a glass of soursop juice, always creates a sensation during a dinner with family or friends.","A good goat in sauce, accompanied by a glass of syrup juice, always creates a sensation during a dinner with family or friends.","A good goat in sauce, accompanied by a glass of syrup juice, always creates a sensation during a dinner with family or friends.",Haiti’s national beer brand | the national beer of Haiti,48.21428571428571,False
fanm_261_hat_eng,"bòt nan pye, kas nan tèt, pèl, pikwa, bouwèt;","boots, helmets, shovels, pickaxes, wheelbarrows ...","sandals, crests, shovels, pickups, bouquets;","Boots, helmets, beads, pickups, bouquets;","boots, helmet, pearl, pikwa, brouette;",tools of the trade | work gear,30.76923076923077,False
zile_125_hat_eng,Poutan Latibonit degoute tak Lagrandans akoukouman nan kalbas,But still the Artibonite River drips like a tap the Grandanse River curls up inside a calabash,Poutan Latibonite drip tak Lagrandans in the limestone,But Latibonite drips its tack Lagrandans under the bark of the cabbage,But the Artibonite drips its flavor into the calvary,"Even so, the Artibonite trickles while the Grandanse coils in a calabash | Still, the Artibonite drips and the Grandanse curls up small in a calabash",59.25925925925925,False
zile_130_hat_eng,toupatou kote lavi ak lanmò ap twoke kòn,everywhere life and death are locking horns,Everywhere life and death are twitching horns,Wherever life and death twist horns,Wherever life and death twist horns,everywhere life and death are in conflict | everywhere life and death are at odds,86.41975308641976,True
fanm_85_hat_eng,yo te deplase Toya pou voye li ale sou bitasyon Kolon Delije.,Toya was sent to settler Delije's dwelling .,moved Toya to send him on a biathlon to Colonel Delege.,They moved Toya to be sent on a mission to Delia.,They moved Toya to be sent on the assignment of Colonel Delije.,Toya was sent off to Delije’s plantation | Toya was moved to Delije’s estate,46.34146341463414,False
charlemagne_79_hat_eng,Li pa te danse kole avèk yo.,From Ounaminthe Charlemagne got transfered to a jail in Cap.,He was not dancing clockwise with them.,She did not dance with them.,She did not dance with them.,He wasn’t in on it. | He didn’t go along with them.,61.76470588235294,False
charlemagne_122_hat_eng,Se te nan lannuit 31 oktòb / 1 novanm 1919.,"Charlemagne died on the spot between the night of octiber 31st and november 1st, 1919.",It was in the night of 31 October / 1 November 1919.,"It was on the night of October 31st/November 1st, 1919.",It was in the night of 31 October / 1 November 1919.,"It was on the night of October 31st to November 1st, 1919. | It happened during the night of October 31st and November 1st, 1919.",83.16831683168317,True
charlemagne_58_hat_eng,"Jou sa a, se fyète nasyonal la ki te anba plant pye nou.",The pride of Haitians was at its lowest on that day.,This day is the national pride that has been under our feet.,"On that day, the national pride was under our feet.","On that day, it was the national pride that was under our feet.","National pride was at its lowest that day | That day, Haitian pride was at an all-time low",52.991452991452995,False
fanm_211_hat_eng,Leyanda sòti anba dekonm yo san yon ti blese.,Leyanda emerged from the rubble unharmed.,Legend emerged from the ruins without a slight injury.,Legend emerged from the rubble without a slight injury.,Leyanda emerged from the rubble without a slight injury.,Leyanda came out unscathed | Leyanda walked away without a scratch,46.51162790697675,False
ife_225_hat_eng,Nou te chita kotakot sou kanape a.,I was at your house sitting next to you on the love seat.,We were sitting kotakot on the sofa.,We were sitting side by side on the couch.,We were sitting side-by-side on the couch.,I was sitting close beside you on the couch | I was sitting next to you on the sofa,69.44444444444444,False
zile_151_hat_eng,Fanm pote lavi,Women carry life,Women bring life,Women bring life,Women carry life,Women bring life | Women are life-givers,100.0,True
cuisine_152_hat_eng,Resèt rapid pou bannann peze:,Quick recipe for fried plantain:,Quick recipe for banana squeeze:,Quick recipe for weighing bananas:,Quick recipe for bananas weighed:,Quick fried plantain recipe | Easy fried plantain recipe,58.18181818181818,False
ife_326_hat_eng,"Nou te rete chita arebò tab la, se Vre, men nou te gen chans reviv bèl sezon adolesans nou yo.","Sitting at the table, we both had a chance to relive the beautiful seasons of our adolescence.","We were sitting at the table, if true, but we had the chance to relive the wonderful season of our adolescence.","We were sitting at the table, yes, but we had the good fortune to relive the wonderful days of our adolescence.","We were sitting at the table, yes, but we had the good fortune to relive the wonderful seasons of our adolescence.",We sat at the table and reminisced about our youth | We spent time at the table reliving the beautiful days of our adolescence,62.70270270270271,False
ife_483_hat_eng,lavi gen enpas.,the road to lile is full of obstacles.,Life is peaceful.,Life is full of flaws.,Life has dead ends.,life is full of obstacles | life is full of hardships,78.57142857142857,False
proverb_215_hat_eng,"Si ou manje bouji, fòk ou poupou mèch.","If you eat a candle, you must poop the wick.","If you eat candles, fork or spit soup.","If you eat candles, you must be a bad person.","If you eat candles, you must be feisty.",You reap what you sow | Actions have consequences,45.16129032258065,False
fanm_134_hat_eng,"Nan lane 1973, Ertha te marye avèk Ernst Trouillot yon gran avoka, ekriven, jounalis. Li gen yon pitit fi.","In 1973, Ertha married Ernst Trouillot, a great lawyer, writer, journalist, and a daughter was born through this union.","In 1973, Ertha married Ernst Trouillot, a distinguished lawyer, writer, journalist. He has a daughter.","In 1973, Ertha married Ernst Trouillot, a famous lawyer, writer, journalist, with whom she has a daughter.","In 1973, Ertha got married to Ernst Trouillot, a famous lawyer, writer, journalist. She has a daughter.","In 1973, Ertha married Ernst Trouillot, a prominent lawyer, writer, and journalist, and they had a daughter. | In 1973, Ertha wed Ernst Trouillot, a distinguished lawyer, writer, and journalist, and the couple had a daughter.",82.35294117647058,True
cuisine_66_hat_eng,fèy fenugreek,Fenugreek Leaf,fenugreek leaves,fenugreek leaf,fenugreek leaf,fenugreek greens | fenugreek leaves,100.0,True
proverb_252_hat_eng,"""Je pa wè, kè pa tounen.""","Far from the eyes, far from the heart","""I have not seen, nor come back.""","""The eye does not see, the heart does not go back.""","""An eye does not see, the heart does not go back.""","Out of sight, out of mind | Absence makes the heart grow fonder",42.42424242424242,False
ife_254_hat_eng,"Anfet, nou konnen nou p ap janm rive reyalize tout rèv nou, paske nou pa ka rive menm wotè ak lapèfeksyon.",We will not realise all our dreams that's a fact.,"Amfet, we know that we will never achieve all our dreams, because we cannot reach even height and perfection.","Amphète, we know that we will never achieve all our dreams, because we cannot reach the same heights of perfection.","Amphète, we know that we will never reach the fulfillment of our dreams, because we cannot reach the same height and perfection.",We can’t achieve all our dreams | We’ll never realize every dream,63.07692307692307,False
ife_142_hat_eng,"Si nou aksepte viv youn lavi depaman pandan tout tan sa a, se paske nou gen katafal rèv nou vle bati ansanm.",I know temptation is an open trap waiting for all the lovers who shun their responsibilities.,"If we accept to live one life in excess of time, it is because we have the dream catapult we want to build together.","If we accept to live a life of exaggeration during this time, it is because we have the dreamcatalyst we want to build together.","If we accept to live a life of exaggeration during all this time, it is because we have the dreamcatalyst we want to build together.","If we choose to live apart for now, it’s because we still share a dream we want to build together. | We can endure this separation because we have a future we’re trying to create side by side.",71.02803738317758,False
cuisine_195_hat_eng,Fry jiskaske lò mawon.,Fry until golden brown.,Fry until golden brown.,Fry until golden brown.,Fry until golden brown.,Cook until golden brown | Fry until nicely browned,82.6086956521739,True
cuisine_186_hat_eng,Lalo Epina ayisyen,Lalo Haitian Spinach,Lalo Epina Haitian,Lalo Spina Haitian,Lalo Spina Haitian,Haitian spinach dish | Haitian spinach stew,61.111111111111114,False
fanm_113_hat_eng,"se la jeneral Jan Jak Desalin ansanm avèk lòt chèf ki te ak li yo te kreye drapo peyi a, pandan yo t ap òganize yon kongrè.","Grann Giton May 18, 1803, in a small town near the village of Arcahaie, called Merotte, General Jean Jacques Dessalines and other chiefs who accompanied him, reated the national flag during a congress.","The General John James Desalin and other leaders who were with him created the country's flag, while organizing a congress.","It was there that General Jean Jacques Dessalines and other leaders with him created the flag of the country, organizing a congress.","It was here that General Jean Jacques Dessalines and other leaders who were with him created the national flag, during the organizing of a congress.",General Jean-Jacques Dessalines and the other leaders with him created the national flag during a congress | The national flag was created by General Jean-Jacques Dessalines and his fellow leaders at a congress,74.235807860262,False
zile_6_hat_eng,Flè solèy fèmen bèldriv,The sunflower closed down long ago,Sunflowers close belfry,Sunflowers close their belts,The sun blows its light,It’s been over for a long time | That ended ages ago,40.0,False
proverb_73_hat_eng,"""Chak fou gen mawòt li""",Every fool has his hobby,"""Chak lou gen mawòt li""","""Every crazy person has his mahogany""","""Every fool has his motto""",Everyone has their own quirks | Every fool has a hobby,34.78260869565217,False
proverb_218_hat_eng,Souke tèt pa kase kou.,To shake the head won't break the neck.,Shake head without breaking neck.,Shaking your head does not break your neck.,Shaking your head does not break your neck.,It won’t hurt to disagree | A little dissent won’t do any harm,42.42424242424242,False
fanm_276_hat_eng,Li te blese byen grav pou li mouri.,"Severely injured, she was on the verge of death.",He was mortally wounded.,She was mortally wounded.,She was badly injured to death.,critically injured | near death,47.61904761904761,False
